trade_date,nav,actual_exposure,executed_target,traded_notional,fee,turnover,daily_return,drawdown,nav_rebased,drawdown_rebased,index_id,index_name,strategy
2026-07-09,1.0298837787909527,0.5311688789106517,0.5269798375154553,0.01952971501751799,9.764857508758996e-06,0.01913207724401235,0.01168429300751983,-0.5551264308945743,0.7042588053304397,-0.30499229707601894,CSI1000,中证1000,Volatility Targeting
2026-07-10,1.0234125381231245,0.510778638452667,0.5142299233134754,0.01784263003792874,8.921315018964371e-06,0.01731114307177152,-0.006283466931992332,-0.5579217792549656,0.6998336184155814,-0.3093593549948218,CSI1000,中证1000,Volatility Targeting
2026-07-13,0.997226629053596,0.4982828301162661,0.5088573408564935,0.000349378574453052,1.7468928722652598e-07,0.0003429659012635969,-0.02558685583191289,-0.5692331709555973,0.6819270765148561,-0.3270306776102285,CSI1000,中证1000,Volatility Targeting
2026-07-14,1.004950310897035,0.44001181006086887,0.4360748244751467,0.06246581642474386,3.123290821237193e-05,0.06259164198946121,0.007745162050845966,-0.5658968120585193,0.6872087122293232,-0.3218184211530718,CSI1000,中证1000,Volatility Targeting
2026-07-15,0.9983872387206356,0.46793553225638707,0.47239791924629587,0.03153816172522461,1.5769080862612305e-05,0.031323241965581464,-0.006530742968317571,-0.5687318284006924,0.682720728764165,-0.32624745073036887,CSI1000,中证1000,Volatility Targeting
2026-07-16,0.9870893523733676,0.4782374761282205,0.48088061250131087,0.016172056962140746,8.086028481070374e-06,0.016300327986845397,-0.011316136574166857,-0.5736121179306014,0.674994967755455,-0.3338717265950971,CSI1000,中证1000,Volatility Targeting
2026-07-17,0.9585179685710665,0.46055530219765667,0.47510367915602025,0.0020422252252589312,1.0211126126294656e-06,0.002073142332601439,-0.028945083576885633,-0.5859539508132714,0.6554571819997961,-0.3531528651417286,CSI1000,中证1000,Volatility Targeting
2026-07-20,0.9480482186193352,0.40109957599909357,0.41095560367719924,0.05074441641869826,2.537220820934913e-05,0.052641934144846476,-0.010922852043493081,-0.5904765145477309,0.6482977201799673,-0.36021828069054296,CSI1000,中证1000,Volatility Targeting
2026-07-21,0.9646121291367415,0.42394452584602255,0.41422830134963384,0.012110327516122399,6.055163758061199e-06,0.012766225592529835,0.01747159078208993,-0.5833214877942536,0.6596245126519136,-0.3490402763009063,CSI1000,中证1000,Volatility Targeting
2026-07-22,0.9591647177971131,0.36687338703323374,0.36809733735739847,0.051628425844489234,2.5814212922244618e-05,0.05372010388493303,-0.005647255694891107,-0.5856745778952464,0.6558994443663504,-0.35271641230771056,CSI1000,中证1000,Volatility Targeting
2026-07-23,0.9609947759540735,0.3761567272257121,0.3753075386235533,0.007758703554150648,3.879351777075324e-06,0.00808455444885634,0.0019079706780327221,-0.584884057138707,0.6571508812739393,-0.35148141420202195,CSI1000,中证1000,Volatility Targeting
2026-07-24,0.9509359364466101,0.3709013351926163,0.37466589938647177,0.0012769597343940675,6.384798671970338e-07,0.001334808084632349,-0.01046711153812152,-0.5892291220138886,0.6502724097022702,-0.35826953057411415,CSI1000,中证1000,Volatility Targeting
2026-07-27,0.9627890865295039,0.38165746556262925,0.37346587898401296,0.0028976352250144055,1.4488176125072028e-06,0.003049489221877254,0.01246471989184239,-0.5841089780800656,0.6583778731426022,-0.35027054002666,CSI1000,中证1000,Volatility Targeting
2026-07-28,0.9529090008867869,0.3459922954934099,0.3494934365774995,0.027890329545113668,1.3945164772556833e-05,0.029111281049207183,-0.010261941873823122,-0.5883768275728528,0.6516216376774016,-0.3569380259786169,CSI1000,中证1000,Volatility Targeting
2026-07-29,0.9562849029816962,0.36293642266076226,0.3604815244528155,0.013988552748236405,6.994276374118203e-06,0.014684217849989637,0.003542732928084158,-0.5869185566059327,0.6539301591098534,-0.3546598291484526,CSI1000,中证1000,Volatility Targeting
