index_id,index_name,event_id,event_type,event_date,window_start,window_end,strategy,local_max_drawdown,exposure_5d_before,exposure_at_start,minimum_exposure,exposure_at_end,target_changes_in_window,all_sample_five_day_flips
CSI300,沪深300,CSI300-sideways_market-007,sideways_market,2018-01-02,2018-01-02,2018-04-02,MA20/MA60,0.1251132005658553,,1.0,0.19835353901503808,0.19958568398656848,1,6
CSI300,沪深300,CSI300-sideways_market-007,sideways_market,2018-01-02,2018-01-02,2018-04-02,Volatility Targeting,0.13415910494509165,,1.0,0.5779210301809866,0.8890838703510467,32,633
CSI300,沪深300,CSI300-sideways_market-007,sideways_market,2018-01-02,2018-01-02,2018-04-02,Risk Score,0.0931000035963171,,0.6523573141221505,0.20042940087320588,0.6494914295953377,16,249
CSI300,沪深300,CSI300-sideways_market-008,sideways_market,2018-07-03,2018-07-03,2018-09-25,Buy & Hold,0.10600561067873315,1.0,1.0,1.0,1.0,0,0
CSI300,沪深300,CSI300-sideways_market-008,sideways_market,2018-07-03,2018-07-03,2018-09-25,Constant Exposure - Train Fixed,0.06729215247127307,0.6278492229819139,0.6289285528207702,0.6233896921708623,0.6292743847651193,0,0
CSI300,沪深300,CSI300-sideways_market-008,sideways_market,2018-07-03,2018-07-03,2018-09-25,MA200,0.021612567560753693,0.19922755816498433,0.19994428972266542,0.19618677108773092,0.20018186573470714,0,43
CSI300,沪深300,CSI300-sideways_market-008,sideways_market,2018-07-03,2018-07-03,2018-09-25,MA20/MA60,0.021612567560753693,0.19922755816498433,0.19994428972266545,0.19618677108773092,0.20018186573470712,0,6
CSI300,沪深300,CSI300-sideways_market-008,sideways_market,2018-07-03,2018-07-03,2018-09-25,Volatility Targeting,0.07683862158324617,0.7341902528183238,0.6613865569899621,0.5657509545950019,0.7049559123646506,60,633
CSI300,沪深300,CSI300-sideways_market-008,sideways_market,2018-07-03,2018-07-03,2018-09-25,Risk Score,0.04858105646232047,0.27914704080406966,0.39991708267425174,0.20014108315398083,0.6503380072939249,11,249
CSI300,沪深300,CSI300-sideways_market-009,sideways_market,2019-03-29,2019-03-29,2019-06-27,Buy & Hold,0.13491456284677228,1.0,1.0,1.0,1.0,0,0
CSI300,沪深300,CSI300-sideways_market-009,sideways_market,2019-03-29,2019-03-29,2019-06-27,Constant Exposure - Train Fixed,0.08404177536009183,0.6084035009708365,0.6177777301180761,0.6033140554155096,0.6112175292414096,0,0
CSI300,沪深300,CSI300-sideways_market-009,sideways_market,2019-03-29,2019-03-29,2019-06-27,MA200,0.13491456284677217,1.0,1.0,1.0,1.0,0,43
CSI300,沪深300,CSI300-sideways_market-009,sideways_market,2019-03-29,2019-03-29,2019-06-27,MA20/MA60,0.1264152584480378,1.0,1.0,0.19798650759121444,0.20114481960426617,1,6
CSI300,沪深300,CSI300-sideways_market-009,sideways_market,2019-03-29,2019-03-29,2019-06-27,Volatility Targeting,0.08793379349624253,0.5513815045135589,0.604256713618052,0.44834435019450225,0.8115875917672088,60,633
CSI300,沪深300,CSI300-sideways_market-009,sideways_market,2019-03-29,2019-03-29,2019-06-27,Risk Score,0.07753556165723552,0.9096850374289304,0.8543875400955223,0.19798650759181222,0.6516875695625868,17,249
CSI300,沪深300,CSI300-sideways_market-010,sideways_market,2019-06-28,2019-06-28,2019-09-20,Buy & Hold,0.08019419333551114,1.0,1.0,1.0,1.0,0,0
